folder,model,position_id,trial,steps_taken,start_z,final_z,z_gained,best_z_on_nerve,best_z_on_nerve_gained,early_stop_nerve,agent_stop,steps_visible,steps_uncertain,steps_not_visible
manual_test\qwen3-vl-235b-base_original_pos1_trial01,qwen3-vl-235b-base_original,1,1,39,292,1102.0,810.0,1102.0,810.0,True,False,1,19,19
manual_test\qwen3-vl-235b-base_original_pos1_trial02,qwen3-vl-235b-base_original,1,2,24,242,862.0,620.0,862.0,620.0,True,False,2,11,11
manual_test\qwen3-vl-235b-base_segB_pos2_trial01,qwen3-vl-235b-base_segB,2,1,33,208,1298.0,1090.0,1298.0,1090.0,True,False,17,7,9
manual_test\qwen3-vl-235b-base_segB_pos2_trial02,qwen3-vl-235b-base_segB,2,2,33,208,1298.0,1090.0,1298.0,1090.0,True,False,17,7,9
manual_test\qwen3-vl-235b-base_segC_pos3_trial01,qwen3-vl-235b-base_segC,3,1,50,217,2067.0,1850.0,2067.0,1850.0,False,False,21,17,12
manual_test\qwen3-vl-235b-base_segC_pos3_trial02,qwen3-vl-235b-base_segC,3,2,15,217,727.0,510.0,727.0,510.0,True,False,4,6,5
manual_test\qwen3-vl-235b-base_segD_pos4_trial01,qwen3-vl-235b-base_segD,4,1,7,171,321.0,150.0,321.0,150.0,True,False,2,0,5
manual_test\qwen3-vl-235b-base_segD_pos4_trial02,qwen3-vl-235b-base_segD,4,2,7,171,321.0,150.0,321.0,150.0,True,False,2,0,5
manual_test\qwen3-vl-235b-ft_original_pos1_trial01,qwen3-vl-235b-ft_original,1,1,11,262.0,552.0,290.0,552.0,290.0,True,False,2,4,5
manual_test\qwen3-vl-235b-ft_original_pos1_trial02,qwen3-vl-235b-ft_original,1,2,9,242.0,512.0,270.0,512.0,270.0,True,False,3,3,3
manual_test\qwen3-vl-235b-ft_segB_pos2_trial01,qwen3-vl-235b-ft_segB,2,1,13,178.0,548.0,370.0,548.0,370.0,True,False,6,3,4
manual_test\qwen3-vl-235b-ft_segB_pos2_trial02,qwen3-vl-235b-ft_segB,2,2,7,168.0,408.0,240.0,408.0,240.0,True,False,4,0,3
manual_test\qwen3-vl-235b-ft_segC_pos3_trial01,qwen3-vl-235b-ft_segC,3,1,11,167.0,567.0,400.0,567.0,400.0,True,False,6,2,3
manual_test\qwen3-vl-235b-ft_segC_pos3_trial02,qwen3-vl-235b-ft_segC,3,2,10,197.0,627.0,430.0,627.0,430.0,True,False,5,2,3
manual_test\qwen3-vl-235b-ft_segD_pos4_trial01,qwen3-vl-235b-ft_segD,4,1,7,121.0,231.0,110.0,231.0,110.0,True,False,1,1,5
manual_test\qwen3-vl-235b-ft_segD_pos4_trial02,qwen3-vl-235b-ft_segD,4,2,5,141.0,271.0,130.0,271.0,130.0,True,False,1,1,3
